City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
137,bayana,100,IN,1563409558,72,26.91,77.29,80.52,4.59
138,tokur,100,RU,1563409559,94,53.13,132.9,61.62,3.06
139,ghanzi,0,BW,1563409559,37,-21.7,21.65,49.92,0.07
140,cherskiy,50,RU,1563409559,60,68.75,161.3,42.9,10.58
141,saint anthony,20,US,1563409559,28,43.97,-111.68,82.4,17.22
142,qaanaaq,0,GL,1563409559,46,77.48,-69.36,45.78,0.96
143,mar del plata,100,AR,1563409315,78,-46.43,-67.52,38.76,18.52
144,mponela,0,MW,1563409560,62,-13.53,33.74,59.0,3.36
145,bredasdorp,90,ZA,1563409324,63,-34.53,20.04,64.0,4.7
146,prabumulih,99,ID,1563409560,92,-3.5,104.19,69.0,3.38
147,rochegda,100,RU,1563409560,70,62.67,43.41,55.86,4.72
148,baft,0,IR,1563409560,58,29.23,56.61,61.44,0.4
149,hovd,0,NO,1563409391,87,63.83,10.7,55.99,4.7
150,noyabrsk,66,RU,1563409560,88,63.2,75.45,67.02,7.61
151,lompoc,1,US,1563409284,68,34.64,-120.46,75.0,13.87
152,tabas,0,IR,1563409561,11,33.6,56.92,96.8,9.17
153,olinda,75,AU,1563409561,71,-37.84,145.39,53.01,8.05
154,sakaiminato,75,JP,1563409334,88,35.55,133.23,75.2,4.7
155,hilo,90,US,1563409561,65,19.71,-155.08,80.6,4.7
156,tilichiki,100,RU,1563409562,93,60.47,166.1,55.14,2.13
157,faanui,37,PF,1563409458,69,-16.48,-151.75,77.28,15.86
158,barkot,96,IN,1563409562,90,30.81,78.21,60.18,1.3
159,zaraza,46,VE,1563409562,94,9.35,-65.33,74.04,5.97
160,khatanga,0,RU,1563409562,54,71.98,102.47,60.0,5.35
161,saint-georges,83,CA,1563409545,58,46.12,-70.67,71.01,7.67
162,chokurdakh,100,RU,1563409563,77,70.62,147.9,39.84,8.77
163,prieska,43,ZA,1563409563,18,-29.67,22.74,51.72,7.87
164,karhal,21,IN,1563409563,64,27.0,78.94,84.66,9.37
165,teya,75,MX,1563409564,88,21.05,-89.07,75.2,4.7
166,aklavik,75,CA,1563409564,60,68.22,-135.01,75.2,4.7
167,poronaysk,100,RU,1563409564,79,49.22,143.1,69.18,7.72
168,raduzhnyy,84,RU,1563409564,84,62.1,77.47,66.48,5.39
169,scottsbluff,1,US,1563409359,12,41.87,-103.67,87.01,11.41
170,ornskoldsvik,90,SE,1563409565,93,63.29,18.72,48.2,2.24
171,newport,90,GB,1563409453,77,51.59,-3.0,64.0,8.05
172,huambo,0,AO,1563409565,39,-12.78,15.73,51.18,1.86
173,sinnamary,58,GF,1563409566,80,5.38,-52.96,82.14,11.77
174,saint-philippe,1,CA,1563409566,64,45.36,-73.48,79.0,8.05
175,jaciara,20,BR,1563409567,42,-15.95,-54.98,74.76,2.57
176,port blair,100,IN,1563409567,81,11.67,92.75,83.58,18.84
177,esfahan,0,IR,1563409510,24,32.66,51.68,66.2,6.93
178,brovst,16,DK,1563409567,91,57.1,9.52,57.99,10.2
179,mokhotlong,0,LS,1563409567,67,-29.29,29.06,28.14,1.48
180,oksfjord,100,NO,1563409568,81,70.24,22.35,50.0,1.12
181,nome,40,US,1563409325,70,30.04,-94.42,90.0,17.22
182,jan kempdorp,0,ZA,1563409569,27,-27.92,24.84,52.44,9.8
183,pavelets,0,RU,1563409570,100,53.79,39.25,57.99,4.25
184,barra patuca,100,HN,1563409570,79,15.8,-84.28,82.68,18.97
185,cidreira,0,BR,1563409304,87,-30.17,-50.22,58.02,10.54
186,kumba,100,CM,1563409570,91,4.64,9.44,73.68,2.28
187,pozo colorado,62,PY,1563409462,52,-23.49,-58.8,64.32,4.97
188,guarapari,20,BR,1563409571,68,-20.67,-40.5,68.0,10.29
189,georgetown,40,GY,1563409571,83,6.8,-58.16,82.4,9.17
190,springdale,1,US,1563409478,52,36.19,-94.13,91.0,12.75
191,fort saint james,100,CA,1563409573,57,54.43,-124.25,62.52,9.08
192,isangel,75,VU,1563409574,57,-19.55,169.27,75.2,9.17
193,longyearbyen,40,NO,1563409574,75,78.22,15.63,42.8,8.05
194,changde,100,CN,1563409574,94,29.04,111.68,77.46,5.35
195,sishui,1,CN,1563409575,67,35.66,117.27,79.44,7.47
196,kupang,100,ID,1563409575,68,-10.16,123.6,75.48,10.09
197,bethel,90,US,1563409577,77,60.79,-161.76,62.6,16.11
198,havre-saint-pierre,20,CA,1563409577,48,50.23,-63.6,66.2,20.8
199,potiskum,89,NG,1563409578,80,11.71,11.08,74.58,6.55
200,lagoa,0,PT,1563409489,68,37.14,-8.45,71.6,4.7
201,shieli,33,KZ,1563409578,29,44.18,66.74,86.64,10.0
202,warmbad,0,DE,1563409578,93,50.67,13.08,55.99,1.12
203,edmundston,1,CA,1563409578,63,47.36,-68.33,69.8,8.05
204,sao filipe,100,CV,1563409578,76,14.9,-24.5,73.86,4.59
205,talnakh,0,RU,1563409454,56,69.49,88.39,68.0,6.71
206,henties bay,0,NA,1563409579,58,-22.12,14.28,61.8,13.56
207,leningradskiy,98,RU,1563409294,92,69.38,178.42,36.42,9.89
208,omboue,15,GA,1563409579,88,-1.57,9.26,75.12,12.86
209,werota,100,ET,1563409579,88,11.92,37.7,65.58,6.73
210,vardo,20,US,1563409579,100,39.62,-77.74,81.0,8.05
211,nara,75,JP,1563409335,83,34.68,135.8,82.99,3.36
212,stromness,40,CA,1563409581,78,42.87,-79.55,80.01,6.93
213,olavarria,83,AR,1563409581,75,-36.89,-60.32,51.01,11.56
214,urengoy,38,RU,1563409582,56,65.96,78.37,72.24,10.92
215,cayenne,91,GF,1563409492,94,4.94,-52.33,75.2,3.89
216,rutul,75,RU,1563409582,73,41.53,47.42,73.4,6.93
217,bongor,83,TD,1563409584,90,10.28,15.37,74.22,23.24
218,kaeo,35,NZ,1563409584,68,-35.1,173.78,62.01,7.0
219,karratha,0,AU,1563409584,16,-20.74,116.85,63.24,12.21
220,mount gambier,100,AU,1563409584,87,-37.83,140.78,46.4,9.17
221,buin,60,CL,1563409585,81,-33.73,-70.74,50.0,8.05
222,ribeira grande,0,PT,1563409443,86,38.52,-28.7,72.06,13.13
223,ilulissat,100,GL,1563409585,81,69.22,-51.1,46.4,5.82
224,san cristobal,84,HN,1563409586,82,14.68,-86.92,71.16,10.11
225,tarko-sale,62,RU,1563409586,77,64.92,77.78,73.99,12.68
226,chernoyerkovskaya,0,RU,1563409586,100,45.43,37.76,64.0,2.24
227,iglesias,14,ES,1563409587,82,42.3,-3.99,62.01,13.87
228,berdigestyakh,16,RU,1563409533,66,62.1,126.7,54.96,12.24
229,garhi khairo,54,PK,1563409587,39,28.06,67.98,92.76,2.04
230,fortuna,40,US,1563409205,68,40.6,-124.16,69.8,13.87
231,tupik,0,RU,1563409589,57,54.43,119.94,73.5,1.92
232,east london,38,ZA,1563409589,56,-33.02,27.91,56.04,4.81
233,nantucket,90,US,1563409589,94,41.28,-70.1,77.0,6.93
234,hamilton,20,CA,1563409333,74,43.26,-79.87,81.0,9.17
235,andalan,92,PH,1563409589,81,5.96,121.39,79.8,6.26
236,khuzdar,45,PK,1563409471,48,27.8,66.62,73.68,2.13
237,bambous virieux,75,MU,1563409590,77,-20.34,57.76,69.8,18.34
238,fallon,40,US,1563409590,60,46.84,-105.12,79.0,9.17
239,morondava,15,MG,1563409354,61,-20.3,44.28,71.88,14.67
240,nikolskoye,90,RU,1563409297,88,59.7,30.79,62.6,4.47
241,manta,0,RO,1563409591,77,45.1,24.1,57.12,4.72
242,tommot,16,RU,1563409591,55,58.97,126.27,69.0,5.79
243,buala,71,SB,1563409591,74,-8.15,159.59,83.04,9.95
244,saint-francois,0,FR,1563409317,72,46.42,3.91,60.8,2.24
245,chicama,90,PE,1563409592,88,-7.84,-79.15,62.6,11.41
246,lucea,20,JM,1563409592,66,18.44,-78.17,86.0,10.29
247,kailua,90,US,1563409593,78,21.39,-157.74,89.6,17.22
